datazone,same_address_last_year,same_datazone_last_year
S01001551,769,9
S01001552,817,11
S01001553,686,16
S01001554,950,5
S01001555,741,8
S01001556,868,12
S01001557,904,20
S01001558,778,-
S01001559,503,1
S01001560,606,5
S01001561,697,2
S01001562,629,1
S01001563,553,6
S01001564,559,4
S01001565,703,8
S01001566,634,-
S01001567,896,6
S01001568,666,-
S01001569,441,3
S01001570,500,1
S01001571,696,1
S01001572,538,4
S01001573,574,11
S01001574,843,5
S01001575,675,7
S01001576,552,2
S01001577,725,10
S01001578,654,5
S01001579,707,-
S01001580,552,1
S01001581,684,3
S01001582,569,4
S01001583,454,-
S01001584,697,8
S01001585,849,7
S01001586,499,-
S01001587,758,12
S01001588,711,12
S01001589,737,3
S01001590,700,1
S01001591,569,-
S01001592,696,12
S01001593,727,3
S01001594,664,7
S01001595,641,16
S01001596,704,4
S01001597,571,6
S01001598,610,1
S01001599,786,1
S01001600,895,10
S01001601,681,12
S01001602,582,4
S01001603,754,10
S01001604,630,7
S01001605,582,2
S01001606,481,-
S01001607,911,7
S01001608,829,6
S01001609,850,9
S01001610,528,1
S01001611,695,8
S01001612,771,8
S01001613,800,10
S01001614,523,2
S01001615,706,3
S01001616,514,5
S01001617,606,15
S01001618,818,11
S01001619,679,-
S01001620,753,2
S01001621,714,2
S01001622,801,4
S01001623,697,16
S01001624,939,4
S01001625,692,8
S01001626,765,-
S01001627,672,5
S01001628,539,1
S01001629,624,2
S01001630,474,13
S01001631,825,5
S01001632,546,7
S01001633,874,14
S01001634,715,2
S01001635,673,10
S01001636,541,1
S01001637,692,-
S01001638,762,8
S01001639,621,5
S01001640,635,6
S01001641,566,-
S01001642,867,13
S01001643,694,1
S01001644,626,4
S01001645,772,24
S01001646,538,9
S01001647,601,4
S01001648,724,4
S01001649,726,8
S01001650,754,3
S01001651,811,4
S01001652,729,6
S01001653,571,25
S01001654,555,8
S01001655,549,4
S01001656,857,19
S01001657,455,3
S01001658,852,-
S01001659,590,1
S01001660,602,2
S01001661,576,8
S01001662,703,4
S01001663,722,3
S01001664,391,10
S01001665,693,6
S01001666,538,13
S01001667,651,3
S01001668,683,7
S01001669,562,25
S01001670,626,6
S01001671,536,5
S01001672,562,-
S01001673,628,1
S01001674,653,12
S01001675,645,2
S01001676,774,1
S01001677,770,1
S01001678,901,2
S01001679,613,8
S01001680,573,-
S01001681,622,1
S01001682,622,2
S01001683,666,4
S01001684,667,13
S01001685,615,1
S01001686,878,-
S01001687,890,2
S01001688,742,7
S01001689,687,-
S01001690,496,6
S01001691,831,2
S01001692,586,-
S01001693,598,8
S01001694,580,4
S01001695,688,3
S01001696,710,7
S01001697,759,1
S01001698,478,3
S01001699,627,-
S01001700,911,-
S01001701,812,12
S01001702,863,1
S01001703,680,3
S01001704,870,6
S01001705,525,5
S01001706,742,5
S01001707,707,6
S01001708,804,4
S01001709,527,7
S01001710,590,6
S01001711,729,-
S01001712,488,-
S01001713,908,3
S01001714,683,-
S01001715,906,-
S01001716,731,14
S01001717,712,6
S01001718,462,1
S01001719,744,-
S01001720,616,10
S01001721,571,-
S01001722,702,2
S01001723,666,9
S01001724,720,2
S01001725,652,11
S01001726,622,1
S01001727,887,-
S01001728,640,7
S01001729,933,-
S01001730,590,-
S01001731,626,-
S01001732,570,-
S01001733,623,2
S01001734,506,-
S01001735,488,-
S01001736,929,7
S01001737,582,4
S01001738,584,4
S01001739,589,-
S01001740,716,16
S01001741,608,1
S01001742,648,21
S01001743,830,12
S01001744,588,-
S01001745,881,-
S01001746,899,-
S01001747,812,1
S01001748,609,-
S01001749,718,1
S01001750,676,7
S01001751,849,8
S01001752,956,-
S01001753,802,3
S01001754,752,13
S01001755,823,4
S01001756,603,2
S01001757,699,9
S01001758,689,2
S01001759,463,2
S01001760,641,-
S01001761,591,8
S01001762,897,1
S01001763,803,-
S01001764,488,-
S01001765,916,3
S01001766,653,3
S01001767,596,-
S01001768,552,5
S01001769,691,-
S01001770,485,11
S01001771,842,1
S01001772,471,-
S01001773,903,-
S01001774,593,-
S01001775,729,-
S01001776,565,-
S01001777,853,1
S01001778,804,7
S01001779,506,-
S01001780,738,3
S01001781,645,2
S01001782,886,3
S01001783,559,11
S01001784,548,2
S01001785,655,2
S01001786,458,9
S01001787,610,-
S01001788,845,2
S01001789,535,8
S01001790,712,-
S01001791,681,10
S01001792,696,3
S01001793,790,4
S01001794,858,5
S01001795,514,-
S01001796,783,-
S01001797,657,2
S01001798,876,-
S01001799,889,27
S01001800,938,8
S01001801,834,-
S01001802,687,6
S01001803,793,26
S01001804,975,5
S01001805,749,3
S01001806,591,-
S01001807,814,3
S01001808,591,-
S01001809,738,8
S01001810,882,6
S01001811,674,5
S01001812,528,-
S01001813,667,1
S01001814,560,7
S01001815,822,-
S01001816,928,2
S01001817,650,1
S01001818,731,2
S01001819,959,6
S01001820,752,3
S01001821,281,2
S01001822,936,5
S01001823,855,15
S01001824,727,-
S01001825,737,-
S01001826,796,11
S01001827,916,6
S01001828,755,2
S01001829,607,6
S01001830,880,-
S01001831,721,-
S01001832,635,2
S01001833,894,2
S01001834,524,2
S01001835,522,7
S01001836,670,1
S01001837,846,11
S01001838,542,-
S01001839,833,12
S01001840,678,-
S01001841,677,-
S01001842,683,5
S01001843,692,2
S01001844,1037,3
S01001845,812,4
S01001846,868,3
S01001847,752,3
S01001848,730,-
S01001849,563,-
S01001850,708,5
S01001851,639,-
S01001852,768,-
S01001853,719,-
S01001854,726,18
S01001855,649,5
S01001856,573,6
S01001857,752,2
S01001858,736,1
S01001859,906,2
S01001860,731,4
S01001861,868,4
S01001862,860,4
S01001863,859,4
S01001864,682,38
S01001865,600,7
S01001866,663,5
S01001867,498,-
S01001868,621,6
S01001869,764,5
S01001870,648,8
S01001871,750,4
S01001872,679,2
S01001873,689,-
S01001874,609,3
S01001875,842,1
S01001876,978,1
S01001877,911,-
S01001878,994,-
S01001879,580,15
S01001880,650,12
S01001881,633,-
S01001882,633,15
S01001883,508,8
S01001884,903,3
S01001885,980,6
S01001886,552,1
S01001887,819,9
S01001888,827,9
S01001889,525,-
S01001890,806,1
S01001891,601,3
S01001892,655,5
S01001893,836,5
S01001894,636,13
S01001895,664,1
S01001896,759,1
S01001897,736,8
S01001898,586,5
S01001899,724,5
S01001900,782,1
S01001901,843,3
S01001902,768,4
S01001903,537,-
S01001904,588,1
S01001905,773,5
S01001906,780,17
S01001907,743,-
S01001908,702,5
S01001909,608,3
S01001910,690,1
S01001911,707,3
S01001912,727,9
S01001913,733,1
S01001914,528,-
S01001915,780,-
S01001916,618,6
S01001917,584,-
S01001918,615,8
S01001919,847,2
S01001920,653,1
S01001921,557,3
S01001922,755,1
S01001923,681,5
S01001924,621,3
S01001925,704,5
S01001926,698,10
S01001927,749,-
S01001928,571,2
S01001929,704,-
S01001930,550,3
S01001931,700,5
S01001932,943,2
S01001933,858,-
S01001934,689,4
S01001935,625,18
S01001936,845,8
S01001937,809,3
S01001938,403,2
S01001939,404,5
S01001940,603,3
S01001941,704,9
S01001942,410,1
S01001943,552,4
S01001944,521,3
S01001945,597,4
S01001946,700,6
S01001947,655,3
S01001948,635,19
S01001949,556,1
S01001950,769,2
S01001951,686,2
S01001952,650,1
S01001953,618,9
S01001954,467,1
S01001955,749,-
S01001956,710,3
S01001957,711,10
S01001958,712,5
S01001959,596,-
S01001960,693,5
S01001961,792,2
S01001962,757,2
S01001963,635,-
S01001964,686,8
S01001965,728,4
S01001966,687,15
S01001967,595,-
S01001968,635,2
S01001969,588,-
S01001970,538,-
S01001971,670,1
S01001972,659,2
S01001973,651,-
S01001974,561,7
S01001975,669,2
S01001976,556,2
S01001977,683,-
S01001978,457,34
S01001979,488,3
S01001980,537,8
S01001981,626,2
S01001982,465,12
S01001983,536,3
S01001984,329,6
S01001985,690,6
S01001986,424,6
S01001987,445,14
S01001988,723,-
S01001989,813,4
S01001990,600,4
S01001991,729,3
S01001992,672,5
S01001993,605,5
S01001994,571,6
S01001995,609,6
S01001996,558,1
S01001997,643,3
S01001998,654,-
S01001999,366,10
S01002000,696,3
S01002001,586,1
S01002002,395,4
S01002003,760,5
S01002004,576,5
S01002005,748,-
S01002006,852,8
S01002007,724,3
S01002008,619,9
S01002009,558,4
S01002010,336,1
S01002011,998,2
S01002012,547,-
S01002013,598,1
S01002014,483,4
S01002015,889,-
S01002016,394,-
S01002017,996,16
S01002018,788,-
S01002019,425,11
S01002020,197,1
S01002021,886,1
S01002022,709,1
S01002023,507,5
S01002024,532,2
S01002025,604,10
S01002026,689,6
S01002027,560,22
S01002028,399,43
S01002029,423,15
S01002030,559,6
S01002031,528,6
S01002032,531,10
S01002033,548,5
S01002034,529,3
S01002035,713,1
S01002036,596,7
S01002037,420,7
S01002038,378,10
S01002039,549,1
S01002040,380,2
S01002041,614,11
S01002042,842,3
S01002043,739,-
S01002044,589,13
S01002045,556,2
S01002046,434,5
S01002047,494,1
S01002048,434,16
S01002049,656,11
S01002050,670,-
S01002051,762,-
S01002052,516,4
S01002053,386,5
S01002054,423,5
S01002055,795,2
S01002056,875,4
S01002057,765,8
S01002058,478,1
S01002059,492,2
S01002060,411,7
S01002061,454,4
S01002062,567,5
S01002063,500,15
S01002064,642,6
S01002065,559,3
S01002066,413,21
S01002067,708,-
S01002068,570,3
S01002069,501,-
S01002070,463,3
S01002071,398,2
S01002072,941,8
S01002073,482,5
S01002074,644,-
S01002075,670,3
S01002076,535,2
S01002077,749,5
S01002078,884,-
S01002079,541,3
S01002080,926,1
S01002081,479,7
S01002082,685,4
S01002083,504,1
S01002084,291,-
S01002085,292,12
S01002086,329,7
S01002087,675,19
S01002088,800,8
S01002089,934,-
S01002090,983,7
S01002091,545,15
S01002092,777,-
S01002093,544,7
S01002094,671,1
S01002095,464,1
S01002096,774,-
S01002097,732,2
S01002098,677,1
S01002099,606,6
S01002100,548,-
S01002101,733,-
S01002102,565,1
S01002103,702,4
S01002104,751,9
S01002105,864,3
S01002106,407,13
S01002107,526,1
S01002108,462,16
S01002109,511,9
S01002110,598,4
S01002111,959,-
S01002112,948,6
S01002113,712,1
S01002114,664,4
S01002115,762,6
S01002116,744,-
S01002117,393,5
S01002118,509,11
S01002119,555,1
S01002120,706,6
S01002121,658,-
S01002122,808,7
S01002123,927,5
S01002124,718,-
S01002125,899,3
S01002126,624,-
S01002127,657,3
S01002128,464,5
S01002129,496,1
S01002130,629,1
S01002131,457,5
S01002132,728,1
S01002133,804,10
S01002134,588,-
S01002135,829,2
S01002136,482,5
S01002137,823,1
S01002138,560,1
S01002139,659,-
S01002140,787,9
S01002141,593,4
S01002142,990,5
S01002143,698,-
S01002144,672,3
S01002145,753,4
S01002146,753,7
S01002147,881,1
S01002148,807,-
S01002149,882,7
S01002150,578,4
S01002151,713,13
S01002152,646,1
S01002153,514,2
S01002154,793,12
S01002155,884,7
S01002156,459,3
S01002157,662,3
S01002158,641,1
S01002159,579,6
S01002160,597,1
S01002161,374,7
S01002162,910,6
S01002163,744,5
S01002164,808,7
S01002165,881,6
S01002166,525,7
S01002167,604,1
S01002168,755,9
S01002169,592,4
S01002170,758,2
S01002171,587,1
S01002172,690,-
S01002173,846,3
S01002174,747,-
S01002175,798,7
S01002176,748,4
S01002177,585,2
S01002178,648,3
S01002179,651,-
S01002180,331,7
S01002181,639,19
S01002182,539,10
S01002183,670,3
S01002184,754,-
S01002185,683,5
S01002186,553,4
S01002187,591,12
S01002188,687,-
S01002189,617,5
S01002190,564,5
S01002191,839,3
S01002192,807,3
S01002193,847,-
S01002194,743,3
S01002195,711,11
S01002196,615,2
S01002197,441,9
S01002198,661,4
S01002199,542,4
S01002200,693,11
S01002201,607,9
S01002202,407,8
S01002203,414,-
S01002204,641,4
S01002205,601,1
S01002206,441,7
S01002207,752,-
S01002208,383,1
S01002209,736,2
S01002210,494,2
S01002211,563,2
S01002212,919,6
S01002213,726,13
S01002214,567,4
S01002215,833,-
S01002216,641,1
S01002217,536,9
S01002218,380,-
S01002219,604,-
S01002220,748,-
S01002221,637,-
S01002222,792,1
S01002223,689,-
S01002224,690,-
S01002225,538,1
S01002226,813,1
S01002227,757,4
S01002228,934,3
S01002229,720,-
S01002230,820,5
S01002231,610,8
S01002232,735,2
S01002233,760,6
S01002234,630,-
S01002235,771,4
S01002236,850,4
S01002237,939,10
S01002238,509,2
S01002239,806,7
S01002240,606,3
S01002241,818,3
S01002242,730,4
S01002243,653,3
S01002244,617,1
S01002245,696,12
S01002246,718,6
S01002247,838,6
S01002248,924,7
S01002249,658,-
S01002250,836,12
S01002251,764,1
S01002252,467,1
S01002253,943,-
S01002254,638,6
S01002255,833,10
S01002256,612,9
S01002257,668,-
S01002258,559,5
S01002259,481,1
S01002260,782,1
S01002261,889,8
S01002262,748,8
S01002263,729,4
S01002264,758,4
S01002265,934,3
S01002266,564,-
S01002267,826,3
S01002268,657,8
S01002269,772,6
S01002270,704,7
S01002271,769,4
S01002272,511,2
S01002273,663,1
S01002274,662,1
S01002275,736,25
S01002276,725,4
S01002277,684,10
S01002278,947,11
S01002279,821,11
S01002280,709,9
S01002281,593,7
S01002282,791,15
S01002283,682,-
S01002284,890,8
S01002285,664,3
S01002286,610,10
S01002287,676,-
S01002288,512,3
S01002289,682,2
S01002290,620,5
S01002291,708,12
S01002292,645,3
S01002293,808,13
S01002294,481,4
S01002295,679,6
S01002296,627,3
S01002297,880,-
S01002298,652,7
S01002299,788,-
S01002300,733,1
S01002301,659,11
S01002302,844,13
S01002303,777,6
S01002304,602,8
S01002305,703,9
S01002306,673,13
S01002307,490,21
S01002308,822,5
S01002309,675,4
S01002310,716,6
S01002311,527,7
S01002312,582,10
S01002313,672,-
S01002314,727,3
S01002315,530,-
S01002316,662,3
S01002317,628,5
S01002318,717,4
S01002319,968,12
S01002320,561,1
S01002321,747,12
S01002322,587,3
S01002323,701,6
S01002324,657,27
S01002325,510,-
S01002326,722,1
S01002327,644,3
S01002328,695,1
S01002329,628,6
S01002330,739,6
S01002331,651,10
S01002332,904,1
S01002333,788,6
S01002334,755,3
S01002335,888,9
S01002336,952,7
S01002337,918,-
S01002338,508,3
S01002339,566,12
S01002340,501,11
S01002341,534,-
S01002342,568,12
S01002343,738,7
S01002344,503,3
S01002345,612,21
S01002346,843,16
S01002347,684,22
S01002348,892,8
S01002349,943,21
S01002350,876,13
S01002351,611,1
S01002352,788,5
S01002353,702,14
S01002354,712,12
S01002355,763,4
S01002356,691,7
S01002357,618,7
S01002358,560,11
S01002359,793,9
S01002360,570,1
S01002361,567,1
S01002362,633,6
S01002363,831,2
S01002364,665,7
S01002365,515,6
S01002366,510,3
S01002367,795,23
S01002368,827,3
S01002369,497,6
S01002370,665,18
S01002371,622,2
S01002372,764,7
S01002373,599,3
S01002374,676,4
S01002375,839,14
S01002376,799,27
S01002377,778,16
S01002378,522,2
S01002379,881,9
S01002380,655,6
S01002381,759,6
S01002382,609,16
S01002383,514,-
S01002384,509,13
S01002385,777,24
S01002386,880,16
S01002387,523,7
S01002388,781,5
S01002389,684,4
S01002390,612,2
S01002391,834,3
S01002392,855,5
S01002393,477,4
S01002394,627,4
S01002395,727,1
S01002396,713,1
S01002397,769,2
S01002398,776,12
S01002399,933,23
S01002400,830,2
S01002401,836,7
S01002402,816,5
S01002403,702,4
S01002404,859,7
S01002405,729,9
S01002406,730,6
S01002407,758,1
S01002408,835,6
S01002409,584,9
S01002410,509,-
S01002411,631,-
S01002412,914,19
S01002413,623,1
S01002414,577,8
S01002415,715,12
S01002416,500,5
S01002417,656,2
S01002418,892,5
S01002419,495,4
S01002420,595,2
S01002421,812,14
S01002422,555,1
S01002423,665,-
S01002424,830,-
S01002425,752,1
S01002426,531,12
S01002427,765,12
S01002428,489,4
S01002429,657,5
S01002430,435,4
S01002431,674,17
S01002432,662,4
S01002433,508,-
S01002434,856,7
S01002435,653,5
S01002436,717,9
S01002437,443,8
S01002438,624,10
S01002439,748,-
S01002440,819,5
S01002441,605,3
S01002442,459,5
S01002443,680,1
S01002444,479,5
S01002445,687,-
S01002446,675,1
S01002447,681,-
S01002448,524,-
S01002449,454,2
S01002450,636,1
S01002451,1037,3
S01002452,533,4
S01002453,751,-
S01002454,760,2
S01002455,591,-
S01002456,876,9
S01002457,779,9
S01002458,789,9
S01002459,492,3
S01002460,793,5
S01002461,377,3
S01002462,572,2
S01002463,918,4
S01002464,508,3
S01002465,566,3
S01002466,934,18
S01002467,465,3
S01002468,516,4
S01002469,613,-
S01002470,833,4
S01002471,538,5
S01002472,507,6
S01002473,750,14
S01002474,427,9
S01002475,497,4
S01002476,740,7
S01002477,799,5
S01002478,924,7
S01002479,669,4
S01002480,511,1
S01002481,937,6
S01002482,764,2
S01002483,625,5
S01002484,789,2
S01002485,822,4
S01002486,508,7
S01002487,474,6
S01002488,598,10
S01002489,495,7
S01002490,576,2
S01002491,476,1
S01002492,614,-
S01002493,867,4
S01002494,661,2
S01002495,641,10
S01002496,585,-
S01002497,602,13
S01002498,684,7
S01002499,770,8
S01002500,538,3
S01002501,442,2
S01002502,815,8
S01002503,481,3
S01002504,750,12
S01002505,702,7
S01002506,809,12
S01002507,543,1
S01002508,769,12
S01002509,882,4
S01002510,958,12
S01002511,474,1
S01002512,483,2
S01002513,626,2
S01002514,545,2
S01002515,540,12
S01002516,680,6
S01002517,548,3
S01002518,631,6
S01002519,783,8
S01002520,557,17
S01002521,507,4
S01002522,670,4
S01002523,657,6
S01002524,534,2
S01002525,616,7
S01002526,513,13
S01002527,684,8
S01002528,685,9
S01002529,811,14
S01002530,697,2
S01002531,843,3
S01002532,717,11
S01002533,808,5
S01002534,912,2
S01002535,432,1
S01002536,458,10
S01002537,574,-
S01002538,820,2
S01002539,734,8
S01002540,569,3
S01002541,909,8
S01002542,531,3
S01002543,556,1
S01002544,702,3
S01002545,587,2
S01002546,622,-
S01002547,659,4
S01002548,924,10
S01002549,528,4
S01002550,502,-
S01002551,557,-
S01002552,552,-
S01002553,719,14
S01002554,619,-
S01002555,623,7
S01002556,723,7
S01002557,834,2
S01002558,489,8
S01002559,645,2
S01002560,517,11
S01002561,638,5
S01002562,605,-
S01002563,811,6
S01002564,604,-
S01002565,847,5
S01002566,731,7
S01002567,274,8
S01002568,672,2
S01002569,918,3
S01002570,548,1
S01002571,551,18
S01002572,520,4
S01002573,484,5
S01002574,699,7
S01002575,594,26
S01002576,665,4
S01002577,825,23
S01002578,681,3
S01002579,624,13
S01002580,703,16
S01002581,652,6
S01002582,663,7
S01002583,668,8
S01002584,684,8
S01002585,781,3
S01002586,495,-
S01002587,652,4
S01002588,711,5
S01002589,739,5
S01002590,728,-
S01002591,538,1
S01002592,870,2
S01002593,705,1
S01002594,531,6
S01002595,610,8
S01002596,700,8
S01002597,477,-
S01002598,835,2
S01002599,516,2
S01002600,750,12
S01002601,611,4
S01002602,494,-
S01002603,673,2
S01002604,919,11
S01002605,580,1
S01002606,548,3
S01002607,808,4
S01002608,550,3
S01002609,731,3
S01002610,847,9
S01002611,800,9
S01002612,678,12
S01002613,820,5
S01002614,836,11
S01002615,469,17
S01002616,598,-
S01002617,885,18
S01002618,704,19
S01002619,738,3
S01002620,705,2
S01002621,594,-
S01002622,297,4
S01002623,488,2
S01002624,723,-
S01002625,918,6
S01002626,687,1
S01002627,1020,8
S01002628,745,3
S01002629,749,2
S01002630,563,10
S01002631,669,2
S01002632,560,1
S01002633,900,8
S01002634,717,-
S01002635,548,5
S01002636,505,7
S01002637,730,-
S01002638,651,5
S01002639,895,8
S01002640,707,11
S01002641,886,3
S01002642,524,4
S01002643,469,-
S01002644,701,5
S01002645,586,7
S01002646,550,3
S01002647,886,8
S01002648,701,8
S01002649,737,-
S01002650,636,9
S01002651,623,6
S01002652,679,1
S01002653,681,3
S01002654,666,13
S01002655,718,9
S01002656,935,21
S01002657,708,11
S01002658,816,6
S01002659,876,4
S01002660,849,9
S01002661,750,3
S01002662,751,13
S01002663,621,2
S01002664,891,6
S01002665,728,6
S01002666,712,10
S01002667,569,6
S01002668,487,8
S01002669,833,14
S01002670,615,1
S01002671,755,4
S01002672,589,5
S01002673,460,1
S01002674,690,11
S01002675,869,5
S01002676,719,-
S01002677,793,17
S01002678,817,-
S01002679,842,6
S01002680,842,11
S01002681,671,1
S01002682,543,11
S01002683,789,8
S01002684,658,-
S01002685,793,13
S01002686,790,1
S01002687,745,2
S01002688,661,5
S01002689,650,-
S01002690,530,5
S01002691,741,9
S01002692,852,4
S01002693,416,8
S01002694,708,5
S01002695,553,7
S01002696,707,6
S01002697,852,1
S01002698,597,6
S01002699,490,4
S01002700,796,29
S01002701,857,10
S01002702,573,5
S01002703,832,5
S01002704,636,4
S01002705,626,7
S01002706,665,39
S01002707,823,3
S01002708,645,13
S01002709,526,13
S01002710,482,6
S01002711,854,-
S01002712,750,4
S01002713,689,23
S01002714,798,10
S01002715,853,5
S01002716,505,-
S01002717,704,6
S01002718,793,3
S01002719,732,10
S01002720,726,4
S01002721,689,5
S01002722,583,2
S01002723,583,1
S01002724,697,2
S01002725,868,2
S01002726,659,-
S01002727,868,15
S01002728,757,7
S01002729,862,1
S01002730,649,17
S01002731,710,2
S01002732,495,2
S01002733,533,8
S01002734,864,4
S01002735,745,3
S01002736,675,-
S01002737,642,2
S01002738,678,3
S01002739,767,9
S01002740,551,-
S01002741,792,3
S01002742,765,9
S01002743,476,9
S01002744,536,1
S01002745,559,9
S01002746,749,3
S01002747,534,1
S01002748,513,3
S01002749,691,2
S01002750,837,5
S01002751,885,9
S01002752,528,-
S01002753,691,7
S01002754,530,1
S01002755,706,14
S01002756,671,9
S01002757,531,5
S01002758,640,6
S01002759,660,6
S01002760,488,4
S01002761,672,7
S01002762,601,21
S01002763,834,5
S01002764,617,1
S01002765,627,24
S01002766,804,4
S01002767,863,1
S01002768,811,1
S01002769,716,6
S01002770,493,5
S01002771,722,10
S01002772,913,9
S01002773,910,4
S01002774,707,7
S01002775,697,9
S01002776,573,-
S01002777,926,7
S01002778,737,9
S01002779,549,9
S01002780,832,8
S01002781,853,2
S01002782,800,6
S01002783,735,14
S01002784,511,5
S01002785,681,5
S01002786,640,8
S01002787,716,8
S01002788,737,5
S01002789,725,2
S01002790,694,23
S01002791,624,13
S01002792,831,8
S01002793,719,9
S01002794,832,4
S01002795,629,-
S01002796,483,-
S01002797,785,5
S01002798,509,10
S01002799,562,5
S01002800,774,-
S01002801,932,-
S01002802,626,-
S01002803,786,8
S01002804,546,9
S01002805,763,24
S01002806,547,-
S01002807,625,14
S01002808,774,15
S01002809,684,2
S01002810,857,24
S01002811,872,6
S01002812,587,15
S01002813,709,1
S01002814,677,6
S01002815,688,10
S01002816,495,7
S01002817,539,2
S01002818,503,5
S01002819,762,14
S01002820,844,10
S01002821,845,36
S01002822,826,12
S01002823,716,12
S01002824,717,10
S01002825,869,16
S01002826,510,1
S01002827,594,18
S01002828,472,4
S01002829,748,9
S01002830,559,12
S01002831,740,1
S01002832,732,8
S01002833,1014,4
S01002834,862,1
S01002835,673,12
S01002836,533,-
S01002837,533,9
S01002838,527,3
S01002839,496,2
S01002840,603,7
S01002841,569,10
S01002842,531,10
S01002843,777,10
S01002844,563,3
S01002845,668,11
S01002846,852,9
S01002847,858,1
S01002848,791,3
S01002849,963,6
S01002850,806,9
S01002851,547,10
S01002852,898,24
S01002853,437,19
S01002854,775,1
S01002855,627,12
S01002856,676,11
S01002857,486,4
S01002858,449,4
S01002859,788,7
S01002860,935,5
S01002861,877,5
S01002862,581,1
S01002863,706,2
S01002864,535,20
S01002865,875,-
S01002866,971,18
S01002867,546,-
S01002868,689,9
S01002869,522,-
S01002870,821,12
S01002871,552,8
S01002872,546,1
S01002873,734,2
S01002874,817,7
S01002875,657,16
S01002876,614,2
S01002877,747,22
S01002878,518,-
S01002879,790,6
S01002880,492,-
S01002881,778,6
S01002882,618,8
S01002883,978,11
S01002884,722,13
S01002885,603,5
S01002886,587,-
S01002887,582,3
S01002888,542,7
S01002889,784,11
S01002890,667,9
S01002891,708,1
S01002892,620,7
S01002893,670,2
S01002894,657,6
S01002895,577,4
S01002896,676,8
S01002897,535,4
S01002898,924,20
S01002899,464,4
S01002900,695,9
S01002901,796,5
S01002902,776,7
S01002903,787,14
S01002904,558,5
S01002905,666,2
S01002906,748,7
S01002907,572,3
S01002908,680,19
S01002909,668,-
S01002910,715,9
S01002911,877,9
S01002912,860,5
S01002913,700,1
S01002914,614,4
S01002915,914,2
S01002916,783,14
S01002917,594,6
S01002918,709,11
S01002919,832,17
S01002920,577,11
S01002921,678,6
S01002922,504,8
S01002923,629,1
S01002924,655,8
S01002925,891,1
S01002926,748,5
S01002927,718,4
S01002928,523,4
S01002929,734,7
S01002930,584,6
S01002931,730,1
S01002932,698,11
S01002933,772,11
S01002934,788,27
S01002935,759,3
S01002936,599,1
S01002937,541,7
S01002938,705,5
S01002939,500,4
S01002940,455,1
S01002941,861,12
S01002942,492,12
S01002943,500,4
S01002944,805,18
S01002945,641,13
S01002946,552,2
S01002947,563,6
S01002948,774,11
S01002949,475,4
S01002950,686,4
S01002951,823,5
S01002952,567,4
S01002953,849,38
S01002954,769,14
S01002955,913,11
S01002956,691,12
S01002957,906,9
S01002958,496,5
S01002959,897,10
S01002960,629,6
S01002961,650,11
S01002962,532,7
S01002963,721,9
S01002964,721,15
S01002965,727,11
S01002966,565,1
S01002967,768,-
S01002968,586,10
S01002969,873,3
S01002970,471,2
S01002971,959,16
S01002972,785,12
S01002973,801,5
S01002974,548,4
S01002975,545,16
S01002976,821,32
S01002977,616,7
S01002978,913,12
S01002979,623,8
S01002980,713,6
S01002981,723,-
S01002982,645,-
S01002983,709,6
S01002984,649,1
S01002985,511,-
S01002986,646,7
S01002987,558,18
S01002988,641,5
S01002989,789,7
S01002990,367,12
S01002991,696,7
S01002992,470,12
S01002993,571,1
S01002994,433,33
S01002995,180,30
S01002996,418,116
S01002997,331,46
S01002998,725,11
S01002999,300,45
S01003000,583,4
S01003001,565,10
S01003002,669,19
S01003003,494,10
S01003004,479,9
S01003005,463,5
S01003006,651,8
S01003007,632,16
S01003008,393,38
S01003009,453,2
S01003010,532,6
S01003011,421,9
S01003012,918,9
S01003013,505,-
S01003014,633,7
S01003015,708,7
S01003016,523,-
S01003017,627,5
S01003018,653,7
S01003019,741,12
S01003020,551,-
S01003021,576,18
S01003022,878,24
S01003023,731,1
S01003024,593,10
S01003025,688,7
S01003026,528,12
S01003027,1003,4
S01003028,657,7
S01003029,702,14
S01003030,665,66
S01003031,432,3
S01003032,680,4
S01003033,509,6
S01003034,854,3
S01003035,687,9
S01003036,856,23
S01003037,681,6
S01003038,804,18
S01003039,931,1
S01003040,945,1
S01003041,664,5
S01003042,591,10
S01003043,468,20
S01003044,892,81
S01003045,750,12
S01003046,696,7
S01003047,992,7
S01003048,755,4
S01003049,487,49
S01003050,745,8
S01003051,656,4
S01003052,717,3
S01003053,752,9
S01003054,834,-
S01003055,784,12
S01003056,872,14
S01003057,641,-
S01003058,717,22
S01003059,834,1
S01003060,629,8
S01003061,822,2
S01003062,852,9
S01003063,725,-
S01003064,860,6
S01003065,747,1
S01003066,889,-
S01003067,629,1
S01003068,767,2
S01003069,548,2
S01003070,736,-
S01003071,594,-
S01003072,982,6
S01003073,720,2
S01003074,735,-
S01003075,665,5
S01003076,881,10
S01003077,921,8
S01003078,687,1
S01003079,849,1
S01003080,779,-
S01003081,736,7
S01003082,716,7
S01003083,935,42
S01003084,824,6
S01003085,924,-
S01003086,683,-
S01003087,611,3
S01003088,867,16
S01003089,588,-
S01003090,710,6
S01003091,578,1
S01003092,727,7
S01003093,937,7
S01003094,891,3
S01003095,783,-
S01003096,674,-
S01003097,746,11
S01003098,858,5
S01003099,559,4
S01003100,781,6
S01003101,572,-
S01003102,763,-
