 delta_b_6, delta_b_9
2.218432365,3.246329329
0.344372014,1.372268975
-1.594286816,-0.56638994
-0.94077537,8.71E-02
6.95E-03,1.034849038
0.534749697,1.562646666
1.286552686,2.314449657
9.435040458,10.46293743
2.292580439,3.320477395
14.82991817,15.85781514
3.012160131,4.040057103
0.5874502,1.615346935
6.646599691,7.674496666
2.258318007,3.286214972
0.854565874,1.882462837
3.013788657,4.041685628
1.166907628,2.194804573
1.149862923,2.177759887
0.764089967,1.791986934
1.006573016,2.034469984
2.094727745,3.122624717
-2.6207799,-1.592883257
1.65877415,2.686671121
-16.55247226,-22.43233056
2.972145629,4.000042601
-0.656320457,0.371576463
2.321960322,3.349857289
3.26E-02,1.060489208
-0.384292,0.643604944
-0.178187098,0.849709857
0.527155176,1.555052141
-17.62843829,-23.5082966
0.530063713,1.557960665
-17.56172396,-23.44158227
-17.94076498,-23.82062328
0.489208042,1.517104999
2.404376373,3.432273342
-17.5107268,-23.39058511
-1.083860997,-5.60E-02
-17.48681755,-23.36667585
-0.779345455,0.248551481
0.704463458,1.732360396
0.746978398,1.774875355
-16.94247625,-22.82233456
-1.130304551,-0.102407742
3.358619943,4.386516916
1.114809993,2.142706954
1.640938393,2.668835351
1.51363998,2.541536945
-17.31015973,-23.19001804
-16.99127749,-22.87113579
1.986602632,3.014499598
1.621561461,2.649458427
-18.01365194,-23.89351025
-17.521042,-23.40090031
1.147391025,2.175287996
-7.80E-02,0.949907981
0.28463405,1.31253101
-0.227018405,0.800878535
-17.76292434,-23.64278265
-1.040350199,-1.25E-02
-16.96306417,-22.84292247
-17.39504294,-23.27490124
-17.15736243,-23.03722073
-17.88729236,-23.76715067
-0.596979648,0.430917286
-1.758099901,-0.730203026
0.714724209,1.742621177
-1.472975946,-0.445079062
-16.92824269,-22.80810099
-16.98754751,-22.86740581
-16.63502698,-22.51488528
-17.33379828,-23.21365659
-16.76620556,-22.64606386
-18.13723997,-24.01709827
-0.99587748,3.20E-02
-17.84056365,-23.72042195
-18.23714542,-24.11700372
1.11280803,2.140704999
2.911891802,3.939788776
3.58399616,4.611893135
0.230382249,1.258279215
2.344175661,3.372072635
2.636649959,3.664546929
3.295668163,4.323565136
4.01E-02,1.067985571
1.063542626,2.091439597
0.397975252,1.425872219
1.009757715,2.037654685
0.365263315,1.393160278
1.409698302,2.437595274
-0.225541403,0.802355559
1.672846681,2.700743654
1.074751492,2.102648463
-0.3263392,0.701557758
1.809293059,2.837190033
-0.21796921,0.809927749
-0.51570325,0.512193704
12.00937819,13.03727517
0.755670821,1.78356779
1.392749892,2.420646864
0.680577981,1.708474951
-17.86816333,-23.74802163
1.321152509,2.349049476
4.410039361,5.437936335
2.329910882,3.357807846
2.357553412,3.385450385
2.154587254,3.182484228
1.75937159,2.787268562
1.059793331,2.087690302
0.737147154,1.765044123
0.846810095,1.874707066
1.361991716,2.389888686
1.634642489,2.662539461
5.486753776,6.514650751
2.914220796,3.942117769
1.928751055,2.956648028
2.996504168,4.02440114
0.749377872,1.77727484
1.171692997,2.199589967
-1.775569013,-0.747672128
1.365466344,2.393363316
0.277795632,1.3056926
4.761198528,5.7890955
4.849877016,5.877773986
0.384837221,1.412734182
2.30522643,3.333123404
2.872447361,3.90034433
3.670053825,4.697950795
3.048719822,4.076616792
2.029348324,3.057245294
4.203875274,5.231772248
3.877450416,4.90534739
4.014715195,5.042612169
1.960901753,2.988798725
3.658212259,4.686109233
2.970970639,3.998867611
4.379867591,5.407764565
3.517784995,4.545681968
3.723608828,4.751505802
4.13068803,5.158585005
3.54664188,4.574538854
2.701490173,3.729387147
2.69330493,3.721201904
3.839602726,4.8674997
3.864527913,4.892424888
3.708046079,4.735943053
3.174260373,4.202157347
3.825678656,4.85357563
4.044348305,5.072245279
2.940081511,3.967978485
3.621609576,4.649506551
3.484979239,4.512876212
4.045156025,5.073052999
3.243010866,4.270907841
4.040451587,5.068348561
3.204086658,4.231983631
2.894137644,3.922034618
3.392185137,4.420082111
3.935579044,4.963476018
4.057749824,5.085646798
-0.656061458,0.371835492
-1.00332221,2.46E-02
1.99048487,3.018381841
-0.62053176,0.407365186
2.886531923,3.914428897
2.500647243,3.528544217
3.865358819,4.893255794
3.144777779,4.172674754
2.054773242,3.082670215
1.972428441,3.000325414
0.235674252,1.263571216
0.582873224,1.610770193
1.240648269,2.268545241
3.862365814,4.890262788
3.294884138,4.322781112
2.693293446,3.72119042
3.6234441,4.651341074
3.390953616,4.418850591
-1.855434957,-0.827538065
-2.925568793,-1.897672068
0.737500719,1.765397688
-0.190395678,0.837501282
1.061407261,2.089304231
1.114695531,2.142592502
1.295706747,2.323603718
1.092620278,2.120517248
1.108396769,2.136293739
1.605011168,2.632908139
1.088447519,2.116344486
1.746929256,2.774826227
0.566194948,1.594091908
2.285820112,3.313717085
3.063080307,4.090977281
1.850474055,2.878371027
1.956037205,2.983934177
2.000774399,3.028671372
1.855923087,2.883820059
1.793191872,2.821088844
2.076822515,3.104719488
2.674408201,3.702305175
2.191645319,3.219542291
2.882589747,3.910486721
2.494471473,3.522368447
1.76131798,2.789214953
2.438237946,3.466134918
3.162001162,4.189898137
2.114990912,3.142887885
2.68495938,3.712856353
2.131317674,3.159214646
1.250920243,2.278817215
2.491570535,3.519467509
2.52573971,3.553636684
3.625855588,4.653752562
3.917731166,4.94562814
4.538822188,5.566719162
3.824824881,4.852721855
2.136073383,3.163970357
2.848831398,3.876728372
2.742928365,3.770825339
2.505182828,3.533079801
2.515067362,3.542964336
2.589621833,3.617518806
3.709987745,4.737884719
3.917015477,4.944912451
4.290492132,5.318389106
3.85010426,4.878001235
3.896097757,4.923994732
3.374970001,4.402866975
3.195143605,4.223040579
4.677499719,5.705396693
5.102615331,6.130512306
4.404809487,5.432706462
4.442277957,5.470174931
4.391838734,5.419735709
4.389331091,5.417228065
3.923628901,4.951525876
4.887665348,5.915562323
3.972240552,5.000137526
4.179921287,5.207818262
4.419733834,5.447630809
4.027058943,5.054955918
3.756801256,4.784698231
5.770079843,6.797976818
3.485150698,4.513047672
4.182618905,5.210515879
4.693994607,5.721891581
4.484723509,5.512620484
2.91327801,3.941174984
3.094783379,4.122680353
2.85028884,3.878185814
2.873131385,3.901028359
4.582338224,5.610235198
4.604436736,5.63233371
4.798172711,5.826069685
4.661436153,5.689333127
4.445795368,5.473692343
3.259687899,4.287584874
2.700199196,3.72809617
4.97983334,6.007730314
3.518211589,4.546108564
1.944162775,2.972059746
2.863096836,3.890993809
2.665432376,3.693329349
3.805825949,4.833722923
3.111615799,4.139512773
3.594129049,4.622026023
3.71309437,4.740991344
2.727696568,3.755593542
3.563944765,4.591841739
3.663572003,4.691468978
3.699213497,4.727110472
3.960254598,4.988151572
3.887162942,4.915059916
3.702340405,4.730237379
4.275439248,5.303336222
3.754126214,4.782023188
3.466050923,4.493947897
4.483662002,5.511558977
3.497334974,4.525231949
3.77915671,4.807053684
4.257101608,5.284998582
3.860058679,4.887955653
3.647558477,4.675455451
3.219923319,4.247820293
4.028264695,5.056161669
2.867509959,3.895406933
2.696071074,3.723968048
3.491546595,4.519443569
3.335063689,4.362960662
3.442085884,4.469982859
1.70882638,2.736723316
15.78909387,16.81699085
-15.51558284,-21.39544114
2.251148335,3.279045291
14.42260444,15.45050142
-14.89656266,-20.77642096
-13.6438229,-19.5236812
14.02920621,15.05710318
-15.64189871,-21.52175701
-14.2724225,-20.1522808
-13.96227089,-19.84212919
2.168889771,3.196786717
0.980566901,2.008463866
4.143787988,5.171684959
14.79692545,15.82482243
0.84023964,1.868136583
1.650668597,2.678565568
-14.33727973,-20.21713803
-14.82245769,-20.702316
-15.91079191,-21.79065021
4.139526282,5.167423256
1.160677358,2.188574272
7.554457815,8.58235479
5.916879304,6.944776279
3.199978697,4.227875665
1.366637089,2.39453406
1.860898687,2.888795656
0.971643079,1.999540048
1.357589023,2.385485991
1.203215499,2.231112462
3.458027241,4.485924214
1.967060293,2.994957259
3.526889684,4.554786638
3.084024527,4.111921488
0.498182461,1.526079366
3.222027949,4.249924918
3.728501342,4.756398305
2.251130346,3.279027291
3.511843539,4.539740514
3.259472759,4.287369732
3.099758349,4.127655322
2.750270932,3.778167907
1.944827142,2.972724116
2.142113566,3.17001054
1.409478515,2.437375479
3.850543389,4.878440362
3.719510731,4.747407704
2.056755974,3.084652938
2.201687857,3.22958481
1.280100081,2.307996933
5.493040359,6.520937334
-15.59013412,-21.46999242
1.871808239,2.899705205
3.072040578,4.099937551
2.689543181,3.717440155
2.769302586,3.79719956
3.385209361,4.413106333
3.728838177,4.756735147
1.197144745,2.22504171
3.375700737,4.403597709
1.346611122,2.374508092
1.341635792,2.369532734
3.109919124,4.137816098
2.981056054,4.008953028
1.8947769,2.922673864
1.144871531,2.172768498
3.700112431,4.728009402
1.533315158,2.561212113
3.728609255,4.756506227
1.900018891,2.927915849
12.20913879,13.23703576
2.003660889,3.031557857
1.494655721,2.522552691
6.502325,7.530221975
2.730562012,3.758458981
2.271234839,3.299131797
2.88269401,3.91059098
1.033374517,2.061271488
5.811679366,6.839576341
5.152056264,6.179953238
4.35570051,5.383597485
0.844577638,1.872474543
4.331269152,5.359166124
4.368546334,5.396443308
-16.17142277,-22.05128107
1.89395269,2.921849645
2.691957648,3.719854623
2.613341994,3.641238968
4.373174649,5.40107162
4.441539843,5.469436818
2.78382098,3.811717954
3.25610237,4.283999343
3.311488426,4.339385399
2.419257192,3.447154162
2.335080667,3.362977632
3.364240283,4.392137257
1.093568576,2.121465539
1.68175484,2.709651812
1.739103219,2.767000178
1.532599992,2.560496951
2.236752208,3.26464918
3.580590438,4.608487411
0.64281335,1.670710281
1.847676967,2.875573937
0.799084918,1.82698185
2.456313557,3.484210528
3.649714715,4.677611689
1.306531601,2.334428568
-17.05862348,-22.93848178
0.474375733,1.50227269
1.300800318,2.328697282
1.972129892,3.00002686
1.275426637,2.303323608
0.869702983,1.897599952
0.344484757,1.372381723
-0.422278972,0.60561796
0.601370505,1.629267469
-6.79E-02,0.959989336
0.809611998,1.837508963
1.253940984,2.281837956
2.161110926,3.189007892
4.122103569,5.150000542
2.958068255,3.985965228
1.824659362,2.852556334
2.259514332,3.287411304
4.027331021,5.055227995
2.779642869,3.807539843
1.217778419,2.245675386
2.021716291,3.049613261
3.114911611,4.142808579
4.58451754,5.612414514
3.111209936,4.13910691
5.970926184,6.998823158
2.258691028,3.286587953
3.802309833,4.830206797
-15.14707071,-21.02692901
0.949018927,1.97691581
0.106717143,1.134614057
2.611531887,3.639428852
5.101833263,6.129730221
-1.74E-02,1.01050519
1.386356448,2.414253368
6.806472549,7.834369523
6.603384518,7.631281493
2.891429419,3.919326387
1.732231785,2.760128719
3.440804117,4.468701088
1.008754124,2.036651037
2.223946705,3.251843678
-13.76201159,-19.64186989
-14.65353051,-20.53338881
-14.10779723,-19.98765552
1.805376481,2.833273453
1.348382929,2.376279899
1.83325955,2.861156518
1.153430128,2.181327063
0.936291416,1.96418838
2.005202272,3.033099244
3.038759534,4.066656506
1.582839027,2.610735999
2.576008992,3.603905964
1.303911933,2.331808891
0.932089932,1.9599869
0.821712805,1.849609772
-18.07968911,-23.95954742
-0.449836544,0.578060405
1.091921606,2.119818571
0.480464489,1.508361455
0.413548418,1.44144538
-0.664023379,0.363873566
0.436531213,1.464428173
4.900430176,5.928327135
2.807254296,3.835151264
-13.79493638,-19.67479467
-15.26795041,-21.14780871
0.87827553,1.906172496
3.265809024,4.293705997
-18.15158588,-24.03144418
0.467903205,1.495800172
1.629959052,2.657856022
2.848776281,3.87667325
1.995562668,3.023459623
1.28113904,2.309035975
2.619461309,3.64735827
2.457144845,3.48504181
1.468664742,2.496561662
-15.49330801,-21.37316631
3.292951203,4.320848175
2.574555556,3.602452528
3.156743452,4.184640422
2.330111496,3.358008469
1.765545312,2.79344227
-0.201383226,0.826513694
-16.89998989,-22.77984819
3.317886037,4.345783003
5.520666383,6.548563357
9.991786239,11.01968321
1.583312401,2.611209353
4.012067692,5.039964666
2.123055119,3.150952079
2.860998647,3.888895618
3.909683246,4.937580218
9.333132951,10.36102993
2.400884123,3.428781093
2.786245985,3.814142956
3.005782607,4.033679579
2.152068547,3.179965509
2.704877959,3.732774922
-13.29242872,-19.17228697
2.501618499,3.529515465
1.796741738,2.824638699
-6.02E-02,0.967695429
4.727605924,5.755502898
2.907075696,3.934972662
4.147308598,5.175205571
2.458417212,3.486314181
2.75888442,3.786781391
1.659942439,2.687839391
2.187604114,3.215501079
3.863686937,4.891583909
3.645408951,4.673305925
1.468037232,2.495934152
3.213367216,4.241264187
3.165985761,4.193882735
3.268762518,4.296659492
2.160281392,3.188178357
2.888625158,3.916522129
3.386425481,4.414322454
3.227805155,4.255702127
3.9256683,4.953565274
4.500254144,5.528151119
2.908989606,3.936886579
1.8336773,2.861574271
3.504200381,4.532097355
1.623744352,2.65164132
2.524987374,3.552884345
0.320168192,1.348065148
2.501184517,3.52908149
2.864748623,3.892645596
1.740589852,2.768486825
3.264171139,4.292068112
3.76812127,4.796018244
1.32225833,2.3501553
0.82826801,1.856164975
3.31293748,4.340834453
1.901336215,2.929233184
2.843692004,3.871588975
3.970917756,4.998814728
3.368109672,4.396006642
4.363165476,5.391062447
3.328610819,4.356507791
4.909855126,5.937752101
3.974911624,5.002808598
5.000767902,6.028664877
3.347626937,4.375523909
3.048732037,4.076629007
3.936468418,4.964365391
2.427122497,3.455019461
0.442673114,1.47057004
1.456170368,2.484067332
1.533611855,2.561508811
2.065719789,3.093616754
4.896971949,5.924868923
2.828900927,3.856797895
6.158029145,7.18592612
1.936575551,2.964472418
4.427764756,5.45566173
1.765347791,2.793244705
5.572996016,6.600892991
5.699966515,6.72786349
4.253055029,5.280952002
2.685522891,3.713419857
2.96872167,3.99661864
3.163217631,4.191114604
0.773969115,1.801866058
2.394386706,3.422283675
-15.54773112,-21.42758942
2.960264586,3.988161555
2.011000131,3.038897097
3.230499825,4.258396798
3.334580055,4.362477029
-0.951802291,7.61E-02
-0.187260903,0.840635974
-16.64121742,-22.52107573
1.00556581,2.03346276
-16.81334348,-22.69320178
2.963990844,3.991887817
-15.5997683,-21.4796266
-16.29344025,-22.17329855
2.160502704,3.188399673
-0.249603699,0.778293221
0.288401755,1.316298688
1.79013547,2.818032435
2.475035592,3.502932559
-16.09229753,-21.97215583
-15.8229753,-21.7028336
-0.101479632,0.926417261
1.053518978,2.081415915
-16.28699332,-22.16685162
-16.17894033,-22.05879863
5.56E-02,1.083467792
1.45202798,2.479924942
0.209205985,1.237102913
-15.94068254,-21.82054084
3.320435192,4.348332165
3.252284457,4.280181429
3.421508827,4.449405799
1.023144655,2.051041593
3.469109237,4.49700621
3.058005783,4.085902754
1.409547158,2.437444112
2.546018982,3.57391595
-16.55018722,-22.43004552
2.169422965,3.197319937
3.066062151,4.093959123
3.243050396,4.270947366
-15.7667565,-21.6466148
-15.72266174,-21.60252004
2.959912079,3.987809043
3.58896193,4.616858903
2.56087375,3.58877072
4.253857123,5.281754098
2.114255795,3.142152763
2.531728768,3.559625735
1.350335115,2.378232073
0.603393322,1.631290236
-15.61028211,-21.49014041
-16.12540266,-22.00526096
-16.24245276,-22.12231106
-16.22662491,-22.10648321
2.24574194,3.273638903
-15.65131481,-21.53117311
4.723358872,5.751255847
1.35886608,2.386763036
-16.70047898,-22.58033729
-0.170263375,0.857633545
0.673497373,1.701394304
3.729894184,4.757791158
2.493027005,3.520923973
5.339967227,6.367864202
3.624974116,4.65287109
4.012501276,5.04039825
1.467319657,2.49521661
2.738206147,3.766103117
2.442177556,3.470074526
2.326999233,3.3548962
1.927697756,2.955594722
1.149489916,2.17738687
0.593124285,1.621021226
-15.79682641,-21.67668471
1.137640399,2.165537343
-15.0332394,-20.9130977
4.471801071,5.499698045
-15.90580341,-21.78566171
2.37954929,3.407446242
-15.99685867,-21.87671697
3.437124278,4.465021249
3.599304758,4.627201721
2.992939844,4.020836814
3.069231277,4.097128243
2.519237324,3.54713427
1.40803562,2.435932545
2.534372846,3.562269811
0.54245619,1.570353001
3.020163513,4.048060479
1.671819595,2.699716512
-16.00221788,-21.88207619
0.808605161,1.836502099
2.056597361,3.084494322
-14.07658842,-19.95644672
0.885295912,1.913192876
1.791478827,2.819375776
1.276852943,2.304749914
3.018991479,4.046888449
4.198768684,5.226665658
3.375146504,4.403043477
2.422297577,3.450194547
2.233069984,3.260966795
4.887137155,5.915034127
3.49619108,4.524088052
-15.11661561,-20.99647391
0.93204369,1.959940556
5.055155337,6.083052312
11.19928983,12.2271868
7.555174165,8.58307114
2.309788103,3.337685045
1.674199195,2.702096164
-17.08664457,-22.96650287
0.180648367,1.20854528
-14.88524064,-20.76509894
-15.20656572,-21.08642402
3.077145651,4.105042625
1.730453288,2.758350258
4.669156922,5.697053897
3.874787764,4.902684738
2.937269525,3.965166497
3.095596273,4.123493243
1.686753597,2.714650536
2.415348833,3.443245797
-13.97041053,-19.85026883
1.084798128,2.112695027
2.886590502,3.914487467
-15.81133599,-21.69119429
3.270927566,4.298824535
2.455875376,3.483772334
-14.92445679,-20.80431508
2.806112808,3.834009778
2.129848637,3.157745601
5.99E-03,1.03388597
1.163527497,2.191424452
1.418337477,2.446234444
2.461894999,3.489791967
1.909629806,2.937526771
1.520558604,2.548455557
-16.52352676,-22.40338507
-17.25179217,-23.13165047
-17.79133349,-23.67119179
1.368315958,2.396212914
1.945514092,2.973411046
1.178122381,2.206019343
-0.717993579,0.309903313
0.280460434,1.308357394
-1.252835242,-0.224938391
-1.544614792,-0.516717983
-16.99275853,-22.87261683
-0.615120882,0.412776048
-17.77293934,-23.65279764
-17.38286825,-23.26272655
-17.53585512,-23.41571342
-15.77640491,-21.65626321
-16.65968354,-22.53954184
-15.76695549,-21.64681379
-17.18448912,-23.06434742
-15.33968597,-21.21954427
-0.873442695,0.154454233
-16.46787882,-22.34773712
1.203393375,2.231290324
2.880553925,3.908450898
8.288941379,9.316838354
3.766221936,4.794118911
4.488269225,5.516166199
4.036183035,5.064080009
-14.65538979,-20.53524809
-7.806907856,-13.68672341
10.46752688,11.49542386
-14.89655607,-20.77641437
13.68759333,14.7154903
4.323823701,5.351720676
4.860659687,5.888556661
3.552314359,4.580211333
3.067072416,4.094969389
3.529291722,4.557188695
2.483971804,3.511868773
3.874023516,4.901920489
4.250932118,5.278829092
2.70758472,3.735481694
3.679952707,4.707849682
3.580166987,4.608063961
2.254859166,3.282756139
2.860918373,3.888815347
3.300942539,4.328839511
3.209392352,4.237289323
5.179329165,6.207226139
2.75655569,3.784452662
2.715706281,3.743603251
2.868110318,3.896007283
7.391908737,8.419805712
-15.65533684,-21.53519515
0.112272348,1.140169181
3.015659418,4.043556387
1.266829355,2.294726286
4.056102494,5.083999468
3.136551456,4.164448428
2.736925486,3.76482246
8.130896385,9.15879336
2.121809654,3.149706607
7.68637093,8.714267905
1.725574376,2.753471341
12.41486013,13.44275711
-13.76168309,-19.6415414
-14.60956783,-20.48942613
1.061116156,2.089013106
1.838824349,2.866721306
-15.2106555,-21.09051379
-15.41299911,-21.29285741
2.573444797,3.601341707
5.131428033,6.159325006
0.973395736,2.001292704
